"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","InformationSheet","consent","ideology","left_right","party","national_pride_1","national_pride_2","ac1","ft_trump","ft_biden","ft_anti_vaxxers","ft_climate_activists","ft_undoc_im","ft_doc_im","ft_unions","randomisation","transitionVignettes","TransitionControl","V1demxval","V2demxsec","V3repxval","V4repxsec","Control","integrvalues","geneq","sexconsent","integrlanguage","placebo_corporate_tax","ac2","pride_western_values","muslim1","muslim2","latino1","latino2","diversity","perceived_value_clash","mc1_party","mc1_party_other","mc2_latinos","mc2_muslims","mc2_western_europeans","mc2_africans","mc2_eastern_europeans","mc2_me_na","mc2_mexicans","mc2_americans","mc2_woman","mc2_asians","mc2_whites","mc2_blacks","mc2_men","mc2_other","mc3_threat","mc3_other","parents_born","residence","residence_other","education","education_other","employment_status","employment_status_other","household_income","race","race_other","gender","gender_other","debriefing","end","interviewtime","groupTime192","ProlificPIDTime","ProlificSessionIDTime","ProlificStudyIDTime","groupTime191","InformationSheetTime","consentTime","groupTime193","Q1Time","Q2Time","Q3Time","Q5Time","groupTime194","Q6Time","groupTime203","gleichungTime","groupTime202","transitionVignettesTime","TransitionControlTime","groupTime196","V1demxvalTime","V2demxsecTime","V3repxvalTime","V4repxsecTime","ControlTime","groupTime197","Q7Time","Q8Time","groupTime198","Q11Time","Q12Time","Q13Time","groupTime199","MC1Time","MC2Time","MC3Time","groupTime195","QD1Time","QD2Time","QD3Time","QD4Time","QD5Time","QD6Time","QD7Time","groupTime200","debriefingTime","endTime","prolific_submission_id","prolific_review_status","Custom study tncs accepted at","prolific_start","prolific_end","prolific_review_date","prolific_archived_date","duration","prolific_completion_code","prolific_total_approvals","prolific_political_spectrum","age","prolific_sex","ethnicity","country_of_birth","country_of_residence","nationality","language","student_status","prolific_employment_status","immigration","imm_pro_con","immigration_dichot","treatment","integration","genderpolicies","latino1_reversed","latino","muslim","left_right_collapsed","left_right_five","gender_extended","gender_collapsed","party_collapsed","party_collapsed_num","born_us","continent_of_birth","imm_background","race_collapsed","race_labelled","race_collapsed_label","merged_race","cohort_labelled","cohort_num","residence_collapsed","residence_collapsed_label","education_label","unemployed","household_income_label"
228,2024-07-01 16:06:29,12,"en",653622213,2024-07-01 15:52:18,2024-07-01 16:06:29,NA,"consent given",1,100,6,2,5,1,99,1,1,1,0,39,1,2,NA,NA,NA,NA,NA,NA,NA,10,10,10,10,9,1,4,1,5,4,2,8,8,"Democratic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,"1",NA,2,"5",NA,4,NA,"1",NA,2,"1",NA,"Women",NA,NA,NA,855.86,NA,NA,NA,NA,135.63,NA,NA,28,NA,NA,NA,NA,162.11,NA,NA,NA,2.71,NA,NA,212.36,NA,NA,NA,NA,NA,172.57,NA,NA,NA,NA,NA,NA,109.33,NA,NA,NA,23.95,NA,NA,NA,NA,NA,NA,NA,9.2,NA,NA,"6682b421f51bbe93271d8e81","AWAITING REVIEW","Not Applicable",2024-07-01 13:51:40.656,2024-07-01 14:06:33.709,NA,2024-07-01 14:08:11.27521,894,"CBDIKNY0",2449,"Conservative","54","Female","White","Latvia","United States","United States","English","Yes","Full-Time",19.5,2,0,"t4",10,10,2,2,3,"Right-leaning","strong_right","Female","Other","Republican",3,0,"Europe",1,1,"White","White","White","4 - 70s",4,1,"Larger city or suburb to a larger city ","2-Year College Degree",0,"Between $40,000 and $79,999 per year"
229,2024-07-01 15:59:28,12,"en",317602540,2024-07-01 15:52:21,2024-07-01 15:59:28,NA,"consent given",6,11,4,1,4,1,0,24,0,100,50,100,74,5,NA,NA,NA,NA,NA,NA,NA,10,10,10,5,5,1,2,4,3,3,4,5,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"1",NA,5,NA,"1",NA,3,"1",NA,"Men",NA,NA,NA,429.8,NA,NA,NA,NA,213.64,NA,NA,28.7,NA,NA,NA,NA,21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33,NA,NA,NA,NA,NA,NA,50.88,NA,NA,NA,78.1,NA,NA,NA,NA,NA,NA,NA,3.65,NA,NA,"6682b48d2f75bd26637c189b","AWAITING REVIEW","Not Applicable",2024-07-01 13:52:18.379,2024-07-01 13:59:46.75,NA,2024-07-01 13:59:51.175419,449,"CBDIKNY0",4896,"Liberal","44","Male","White","United States","United States","United States","English","No","Full-Time",75,0,1,"control",7.5,10,3,3.5,3.5,"Left-leaning","strong_left","Male","Male","Independent",2,1,"North America (US)",0,1,"White","White","White","5 - 80s",3,0,"Other","4-Year College Degree",0,"Between $80,000 and $119,999 per year"
230,2024-07-01 15:54:44,12,"en",376668873,2024-07-01 15:52:25,2024-07-01 15:54:44,NA,"consent given",6,20,2,4,2,1,12,62,0,68,50,50,54,3,NA,NA,NA,NA,NA,NA,NA,7,8,8,8,0,1,4,3,3,2,4,7,5,"No party stated",NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,0,"3",NA,2,NA,"0",NA,1,"1",NA,"Men",NA,NA,NA,144.17,NA,NA,NA,NA,4.64,NA,NA,14.4,NA,NA,NA,NA,18.83,NA,NA,NA,2.57,NA,NA,16.59,NA,NA,NA,NA,NA,20.52,NA,NA,NA,NA,NA,NA,52.05,NA,NA,NA,12.05,NA,NA,NA,NA,NA,NA,NA,2.52,NA,NA,"6682b4975c53ae2d80555623","AWAITING REVIEW","Not Applicable",2024-07-01 13:52:23.407,2024-07-01 13:54:46.183,NA,2024-07-01 13:56:01.046248,143,"CBDIKNY0",3873,"Liberal","33","Male","White","United States","United States","United States","English","No","Other",50,1,NA,"t1",7.5,8,4,4,3,"Left-leaning","slight_left","Male","Male","Democratic",1,1,"North America (US)",0,1,"White","White","White","6 - 90s",2,0,"Other","High School Graduate",1,"Under $40,000 per year"
231,2024-07-01 15:59:18,12,"en",565325645,2024-07-01 15:52:28,2024-07-01 15:59:18,NA,"consent given",7,2,4,2,5,1,0,32,0,96,89,94,92,4,NA,NA,NA,NA,NA,NA,NA,0,10,10,0,0,1,1,5,1,1,5,1,0,"Republican",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,"2",NA,0,"3",NA,6,NA,"1",NA,NA,"1",NA,"Men",NA,NA,NA,414.68,NA,NA,NA,NA,25.58,NA,NA,65.4,NA,NA,NA,NA,229.83,NA,NA,NA,2.45,NA,NA,8.87,NA,NA,NA,NA,NA,22.18,NA,NA,NA,NA,NA,NA,34.39,NA,NA,NA,22.47,NA,NA,NA,NA,NA,NA,NA,3.51,NA,NA,"6682b48b8b49e3c288f6eb69","AWAITING REVIEW","Not Applicable",2024-07-01 13:52:16.329,2024-07-01 13:59:35.847,NA,2024-07-01 13:59:36.553255,440,"CBDIKNY0",4945,"Liberal","45","Male","Other","United States","United States","United States","English","Yes","Full-Time",91.5,0,1,"t2",0,10,5,5,3,"Left-leaning","strong_left","Male","Male","Independent",2,1,"North America (US)",0,1,"White","White","White","4 - 70s",4,0,"Other","Post Graduate (e.g., masters, PhD, JD)",0,NA
232,2024-07-01 15:57:03,12,"en",141368734,2024-07-01 15:52:42,2024-07-01 15:57:03,NA,"consent given",2,82,6,5,1,1,76,18,50,18,18,70,31,1,NA,NA,NA,NA,NA,NA,NA,0,0,0,6,5,1,3,3,3,3,2,7,5,"No party stated",NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,0,"2",NA,4,NA,"0",NA,3,"1",NA,"Women",NA,NA,NA,265.95,NA,NA,NA,NA,11.02,NA,NA,24.07,NA,NA,NA,NA,30.66,NA,NA,NA,13.35,NA,NA,38.69,NA,NA,NA,NA,NA,26.7,NA,NA,NA,NA,NA,NA,81.68,NA,NA,NA,30.92,NA,NA,NA,NA,NA,NA,NA,8.86,NA,NA,"6682b483167aa66f2172806b","AWAITING REVIEW","Not Applicable",2024-07-01 13:52:32.751,2024-07-01 13:57:09.597,NA,2024-07-01 19:15:57.798751,277,"CBDIKNY0",106,"Conservative","42","Female","White","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)",44,2,0,"t3",3,0,3,2.5,3,"Right-leaning","strong_right","Female","Other","Republican",3,1,"North America (US)",0,1,"White","White","White","5 - 80s",3,0,"Other","2-Year College Degree",1,"Between $80,000 and $119,999 per year"
233,2024-07-01 16:00:14,12,"en",1684090634,2024-07-01 15:52:54,2024-07-01 16:00:14,NA,"consent given",3,67,5,4,2,1,63,73,30,50,15,63,50,2,NA,NA,NA,NA,NA,NA,NA,6,6,6,7,6,1,4,4,2,3,4,4,4,"Republican",NA,NA,"Y",NA,"Y","Y","Y","Y",NA,"Y","Y",NA,NA,NA,NA,"2",NA,2,"4",NA,5,NA,"-oth-","prefer not to say",2,"4",NA,"Women",NA,NA,NA,443.03,NA,NA,NA,NA,7.92,NA,NA,37.43,NA,NA,NA,NA,34.25,NA,NA,NA,8.98,NA,NA,76.62,NA,NA,NA,NA,NA,55.2,NA,NA,65.16,NA,NA,NA,74.44,NA,NA,NA,74.84,NA,NA,NA,NA,NA,NA,NA,8.19,NA,NA,"6682b4ad70a135cfe0e3e379","AWAITING REVIEW","Not Applicable",2024-07-01 13:52:51.419,2024-07-01 14:00:17.381,NA,2024-07-01 14:01:05.60755,446,"CBDIKNY0",3704,"Conservative","49","Female","Asian","Philippines","United States","United States","Tagalog-Filipino","No","Other",39,2,0,"t4",6.5,6,3,3.5,3,"Right-leaning","slight_right","Female","Other","Republican",3,0,"Asia",1,0,"Asian","Non-white","Asian","4 - 70s",4,1,"Larger city or suburb to a larger city ","4-Year College Degree",0,"Between $40,000 and $79,999 per year"
235,2024-07-01 15:57:07,12,"en",837874680,2024-07-01 15:52:58,2024-07-01 15:57:07,NA,"consent given",7,1,2,2,2,1,1,49,0,89,99,99,99,5,NA,NA,NA,NA,NA,NA,NA,0,5,10,0,0,1,1,3,1,1,1,0,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2",NA,3,NA,"0",NA,1,"1",NA,"Women",NA,NA,NA,251.36,NA,NA,NA,NA,38.02,NA,NA,18.65,NA,NA,NA,NA,34.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.12,NA,NA,NA,NA,NA,NA,66.11,NA,NA,NA,26.42,NA,NA,NA,NA,NA,NA,NA,5.24,NA,NA,"6682b4b1446f0105aa25d753","AWAITING REVIEW","Not Applicable",2024-07-01 13:52:54.867,2024-07-01 13:57:12.873,NA,2024-07-01 13:57:13.567652,259,"CBDIKNY0",4877,"Liberal","31","Female","White","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)",99,0,1,"control",0,7.5,5,3,2,"Left-leaning","strong_left","Female","Other","Democratic",1,1,"North America (US)",0,1,"White","White","White","6 - 90s",2,0,"Other","Some College",1,"Under $40,000 per year"
236,2024-07-01 16:02:07,12,"en",1264531761,2024-07-01 15:53:01,2024-07-01 16:02:07,NA,"consent given",6,5,2,4,4,1,0,80,0,90,100,100,100,4,NA,NA,NA,NA,NA,NA,NA,0,10,10,0,0,1,4,5,4,1,3,0,0,"Republican",NA,"Y",NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,"2",NA,0,"2",NA,3,NA,"1",NA,3,"1",NA,"Men",NA,NA,NA,551.25,NA,NA,NA,NA,7.93,NA,NA,34.24,NA,NA,NA,NA,138.86,NA,NA,NA,5.61,NA,NA,53.3,NA,NA,NA,NA,NA,160.88,NA,NA,NA,NA,NA,NA,101.18,NA,NA,NA,43.27,NA,NA,NA,NA,NA,NA,NA,5.98,NA,NA,"6682b4ab09fea236cf4c7033","AWAITING REVIEW","Not Applicable",2024-07-01 13:52:56.684,2024-07-01 14:02:14.11,NA,2024-07-01 14:02:59.64692,558,"CBDIKNY0",783,"Liberal","38","Male","White","United States","United States","United States","English","No","Full-Time",100,0,1,"t2",0,10,5,4,4.5,"Left-leaning","strong_left","Male","Male","Democratic",1,1,"North America (US)",0,1,"White","White","White","5 - 80s",3,0,"Other","Some College",0,"Between $80,000 and $119,999 per year"
237,2024-07-01 15:58:03,12,"en",1628007772,2024-07-01 15:53:09,2024-07-01 15:58:03,NA,"consent given",5,50,3,3,4,1,29,25,22,81,27,70,76,3,NA,NA,NA,NA,NA,NA,NA,0,0,10,1,0,1,1,5,1,3,3,2,3,"No party stated",NA,"Y","Y",NA,NA,NA,"Y","Y","Y","Y",NA,NA,NA,NA,NA,"1",NA,2,"4",NA,6,NA,"1",NA,4,"4",NA,"Men",NA,NA,NA,297.71,NA,NA,NA,NA,11.36,NA,NA,25.12,NA,NA,NA,NA,30.32,NA,NA,NA,3.84,NA,NA,37.97,NA,NA,NA,NA,NA,42.97,NA,NA,NA,NA,NA,NA,102.31,NA,NA,NA,26.72,NA,NA,NA,NA,NA,NA,NA,17.1,NA,NA,"6682b4396fbbfecd46e51288","AWAITING REVIEW","Not Applicable",2024-07-01 13:53:01.181,2024-07-01 13:58:07.101,NA,2024-07-01 13:58:07.7342,306,"CBDIKNY0",419,"Liberal","30","Male","Asian","United States","United States","United States","Cantonese","No","Full-Time",48.5,2,0,"t1",0.5,5,3,3,3,"Centrist","middle","Male","Male","Democratic",1,1,"North America (US)",1,0,"Asian","Non-white","Asian","6 - 90s",2,1,"Larger city or suburb to a larger city ","Post Graduate (e.g., masters, PhD, JD)",0,"Between $120,000 and $199,999 per year"
238,2024-07-01 15:57:33,12,"en",1344881458,2024-07-01 15:53:10,2024-07-01 15:57:33,NA,"consent given",2,50,7,5,1,1,90,3,38,18,8,61,17,2,NA,NA,NA,NA,NA,NA,NA,10,8,7,10,10,1,5,1,5,4,5,10,10,"No party stated",NA,"Y","Y","Y",NA,NA,"Y",NA,"Y",NA,NA,"Y",NA,NA,NA,"2",NA,0,"5",NA,5,NA,"1",NA,3,"1",NA,"Women",NA,NA,NA,265.81,NA,NA,NA,NA,13.34,NA,NA,24.14,NA,NA,NA,NA,48.42,NA,NA,NA,4.66,NA,NA,23.4,NA,NA,NA,NA,NA,32.24,NA,NA,43.41,NA,NA,NA,38.89,NA,NA,NA,29.13,NA,NA,NA,NA,NA,NA,NA,8.18,NA,NA,"6682b4bc09fea236cf4c7038","AWAITING REVIEW","Not Applicable",2024-07-01 13:53:06.756,2024-07-01 13:57:34.872,NA,2024-07-01 13:57:36.031415,269,"CBDIKNY0",1650,"Conservative","70","Female","White","United States","United States","United States","English","No","Part-Time",34.5,2,0,"t4",10,7.5,2,3.5,3,"Centrist","middle","Female","Other","Republican",3,1,"North America (US)",0,1,"White","White","White","2 - 1950s",6,1,"Larger city or suburb to a larger city ","4-Year College Degree",0,"Between $80,000 and $119,999 per year"
240,2024-07-01 16:03:10,12,"en",924517864,2024-07-01 15:53:13,2024-07-01 16:03:10,NA,"consent given",2,69,6,5,1,1,77,7,50,13,0,0,43,2,NA,NA,NA,NA,NA,NA,NA,10,4,3,10,6,1,5,2,4,4,4,1,8,"No party stated",NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA,"Y",NA,"2",NA,0,"3",NA,5,NA,"1",NA,2,"3",NA,"Women",NA,NA,NA,600.18,NA,NA,NA,NA,32.37,NA,NA,99.25,NA,NA,NA,NA,54.85,NA,NA,NA,16.46,NA,NA,214.1,NA,NA,NA,NA,NA,37.2,NA,NA,NA,NA,NA,NA,111.84,NA,NA,NA,21.65,NA,NA,NA,NA,NA,NA,NA,12.46,NA,NA,"6682b4c37f3ada4e399d5228","AWAITING REVIEW","Not Applicable",2024-07-01 13:53:11.191,2024-07-01 14:03:14.859,NA,2024-07-01 14:03:18.422168,604,"CBDIKNY0",7687,"Conservative","35","Female","White","United States","United States","United States","English","No","Full-Time",0,2,0,"t4",10,3.5,2,3,3,"Right-leaning","slight_right","Female","Other","Republican",3,1,"North America (US)",0,0,"Hispanic / Latino","Non-white","Hispanic / Latino","5 - 80s",3,0,"Other","4-Year College Degree",0,"Between $40,000 and $79,999 per year"
241,2024-07-01 15:56:24,12,"en",267579458,2024-07-01 15:53:20,2024-07-01 15:56:24,NA,"consent given",5,22,4,4,4,1,11,11,14,87,21,80,70,5,NA,NA,NA,NA,NA,NA,NA,4,8,6,8,3,1,2,4,4,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2",NA,2,NA,"1",NA,2,"7",NA,"Men",NA,NA,NA,186.99,NA,NA,NA,NA,28.59,NA,NA,22.4,NA,NA,NA,NA,18.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.92,NA,NA,NA,NA,NA,NA,50.62,NA,NA,NA,23.54,NA,NA,NA,NA,NA,NA,NA,3.12,NA,NA,"6682b4b90f9798b0d8ac5c95","AWAITING REVIEW","Not Applicable",2024-07-01 13:53:05.603,2024-07-01 13:56:26.152,NA,2024-07-01 13:56:43.303812,201,"CBDIKNY0",114,"Liberal","33","Male","Other","United States","United States","United States","English","No","Full-Time",50.5,0,1,"control",6,7,4,3,4,"Left-leaning","slight_left","Male","Male","Independent",2,1,"North America (US)",0,0,"Native American, Alaska Indian, Native Hawaiian","Non-white","Native American, Alaska Indian, Native Hawaiian","6 - 90s",2,0,"Other","High School Graduate",0,"Between $40,000 and $79,999 per year"
242,2024-07-01 16:06:18,12,"en",689546107,2024-07-01 15:53:27,2024-07-01 16:06:18,NA,"consent given",1,90,7,5,1,1,95,50,50,90,20,85,85,3,NA,NA,NA,NA,NA,NA,NA,8,6,8,7,7,1,4,2,2,4,4,8,9,"Republican",NA,"Y","Y",NA,"Y",NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA,"1",NA,0,"5",NA,6,NA,"1",NA,3,"2",NA,"Men",NA,NA,NA,773.78,NA,NA,NA,NA,16.66,NA,NA,72.6,NA,NA,NA,NA,180.97,NA,NA,NA,13.06,NA,NA,100.61,NA,NA,NA,NA,NA,73.98,NA,NA,NA,NA,NA,NA,228.69,NA,NA,NA,66.16,NA,NA,NA,NA,NA,NA,NA,21.05,NA,NA,"6682b4c4647ed1ffd1be46c4","AWAITING REVIEW","Not Applicable",2024-07-01 13:53:19.204,2024-07-01 14:06:32.769,NA,2024-07-01 14:08:10.873953,794,"CBDIKNY0",73,"Conservative","45","Male","Black","United States","United States","United States","English","No","Part-Time",52.5,0,1,"t1",7.5,7,2,3,2,"Right-leaning","strong_right","Male","Male","Republican",3,1,"North America (US)",0,0,"Black","Non-white","Black","4 - 70s",4,1,"Larger city or suburb to a larger city ","Post Graduate (e.g., masters, PhD, JD)",0,"Between $80,000 and $119,999 per year"
243,2024-07-01 15:59:50,12,"en",1285199577,2024-07-01 15:53:40,2024-07-01 15:59:50,NA,"consent given",1,98,7,4,5,1,100,0,50,50,20,94,50,4,NA,NA,NA,NA,NA,NA,NA,10,8,6,10,8,1,3,3,5,4,4,5,8,"Republican",NA,"Y","Y",NA,"Y",NA,"Y","Y",NA,"Y",NA,NA,NA,"Y",NA,"2",NA,0,"3",NA,4,NA,"1",NA,3,"1",NA,"Women",NA,NA,NA,373.99,NA,NA,NA,NA,10.72,NA,NA,34.6,NA,NA,NA,NA,41.77,NA,NA,NA,5.17,NA,NA,42.67,NA,NA,NA,NA,NA,55.43,NA,NA,30.1,NA,NA,NA,106.21,NA,NA,NA,37.97,NA,NA,NA,NA,NA,NA,NA,9.35,NA,NA,"6682b4cad594d0a930b869ae","AWAITING REVIEW","Not Applicable",2024-07-01 13:53:34.485,2024-07-01 13:59:56.579,NA,2024-07-01 14:00:01.818368,383,"CBDIKNY0",1090,"Conservative","51","Female","White","United States","United States","United States","English","No","Full-Time",57,0,1,"t2",10,7,2,3,4,"Right-leaning","strong_right","Female","Other","Republican",3,1,"North America (US)",0,1,"White","White","White","4 - 70s",4,0,"Other","2-Year College Degree",0,"Between $80,000 and $119,999 per year"
244,2024-07-01 15:58:48,12,"en",2092113775,2024-07-01 15:53:52,2024-07-01 15:58:48,NA,"consent given",7,1,1,2,4,1,0,70,0,86,71,95,71,1,NA,NA,NA,NA,NA,NA,NA,5,7,6,4,1,1,2,3,2,1,3,4,5,"Democratic",NA,NA,"Y",NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA,"1",NA,0,"4",NA,6,NA,"1",NA,5,"1",NA,"Women",NA,NA,NA,271.34,NA,NA,NA,NA,18.5,NA,NA,24.4,NA,NA,NA,NA,44.42,NA,NA,NA,4.72,NA,NA,20.28,NA,NA,NA,NA,NA,41.21,NA,NA,NA,NA,NA,NA,93.05,NA,NA,NA,19.89,NA,NA,NA,NA,NA,NA,NA,4.87,NA,NA,"6682b4ea8b49e3c288f6eb84","AWAITING REVIEW","Not Applicable",2024-07-01 13:53:50.121,2024-07-01 13:58:51.867,NA,2024-07-01 13:58:53.040808,302,"CBDIKNY0",69,"Liberal","60","Female","White","United States","United States","United States","English","No","Full-Time",83,0,1,"t3",4.5,6.5,5,4,2.5,"Left-leaning","strong_left","Female","Other","Democratic",1,1,"North America (US)",0,1,"White","White","White","3 - 60s",5,1,"Larger city or suburb to a larger city ","Post Graduate (e.g., masters, PhD, JD)",0,"Above $200,000 per year"
245,2024-07-01 15:57:23,12,"en",975754056,2024-07-01 15:54:04,2024-07-01 15:57:23,NA,"consent given",3,70,5,5,1,1,95,1,10,60,40,60,60,3,NA,NA,NA,NA,NA,NA,NA,10,10,10,10,9,1,4,2,5,2,5,10,7,"Republican",NA,NA,"Y",NA,NA,NA,"Y",NA,NA,"Y",NA,NA,NA,NA,NA,"1",NA,0,"2",NA,5,NA,"1",NA,2,"1",NA,"Women",NA,NA,NA,204.41,NA,NA,NA,NA,6.84,NA,NA,25.09,NA,NA,NA,NA,32.85,NA,NA,NA,4.17,NA,NA,22.85,NA,NA,NA,NA,NA,28.98,NA,NA,39.87,NA,NA,NA,22.23,NA,NA,NA,17.68,NA,NA,NA,NA,NA,NA,NA,3.85,NA,NA,"6682b4d07a932baf0f63f00b","AWAITING REVIEW","Not Applicable",2024-07-01 13:53:29.494,2024-07-01 13:57:27.547,NA,2024-07-01 13:57:28.120388,239,"CBDIKNY0",285,"Conservative","32","Female","White","United States","United States","United States","English","No","Full-Time",50,1,NA,"t1",10,10,4,4.5,3.5,"Right-leaning","slight_right","Female","Other","Republican",3,1,"North America (US)",0,1,"White","White","White","6 - 90s",2,0,"Other","4-Year College Degree",0,"Between $40,000 and $79,999 per year"
246,2024-07-01 16:00:57,12,"en",1573729768,2024-07-01 15:54:08,2024-07-01 16:00:57,NA,"consent given",2,79,6,5,1,1,78,8,84,41,12,66,43,1,NA,NA,NA,NA,NA,NA,NA,1,7,5,10,1,1,4,4,2,1,4,6,6,"Democratic",NA,"Y",NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA,"1",NA,2,"5",NA,6,NA,"1",NA,5,"3",NA,"Women",NA,NA,NA,414.43,NA,NA,NA,NA,35.7,NA,NA,18.96,NA,NA,NA,NA,78.97,NA,NA,NA,2.82,NA,NA,42.9,NA,NA,NA,NA,NA,41.53,NA,NA,113.67,NA,NA,NA,21.62,NA,NA,NA,51.84,NA,NA,NA,NA,NA,NA,NA,6.42,NA,NA,"6682b4e8c338ce68e6a50b85","AWAITING REVIEW","Not Applicable",2024-07-01 13:54:06.25,2024-07-01 14:00:59.507,NA,2024-07-01 14:02:53.2692,414,"CBDIKNY0",5455,"Conservative","48","Female","White","United States","United States","United States","English","No","Full-Time",39,2,0,"t3",5.5,6,5,4.5,3,"Right-leaning","slight_right","Female","Other","Republican",3,1,"North America (US)",1,0,"Hispanic / Latino","Non-white","Hispanic / Latino","4 - 70s",4,1,"Larger city or suburb to a larger city ","Post Graduate (e.g., masters, PhD, JD)",0,"Above $200,000 per year"
247,2024-07-01 16:02:26,12,"en",1793940853,2024-07-01 15:54:21,2024-07-01 16:02:26,NA,"consent given",5,50,3,2,5,1,0,50,0,50,20,50,50,1,NA,NA,NA,NA,NA,NA,NA,5,10,5,6,0,1,3,3,5,3,5,5,5,"Democratic",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA,"1",NA,0,"3",NA,3,NA,"1",NA,2,"1",NA,"Men",NA,NA,NA,489.73,NA,NA,NA,NA,253.55,NA,NA,15.06,NA,NA,NA,NA,29.8,NA,NA,NA,13.76,NA,NA,20.86,NA,NA,NA,NA,NA,50.46,NA,NA,55.12,NA,NA,NA,17.72,NA,NA,NA,29.17,NA,NA,NA,NA,NA,NA,NA,4.23,NA,NA,"6682b506aa44eb333efba655","AWAITING REVIEW","Not Applicable",2024-07-01 13:54:19.363,2024-07-01 14:02:27.569,NA,2024-07-01 14:03:00.146734,489,"CBDIKNY0",5771,"Liberal","38","Male","White","United States","United States","United States","English","No","Full-Time",35,2,0,"t3",5.5,7.5,3,4,4,"Centrist","middle","Male","Male","Democratic",1,1,"North America (US)",0,1,"White","White","White","5 - 80s",3,0,"Other","Some College",0,"Between $40,000 and $79,999 per year"
248,2024-07-01 16:05:37,12,"en",2045754683,2024-07-01 15:54:30,2024-07-01 16:05:37,NA,"consent given",6,50,4,1,NA,1,99,1,50,21,0,50,50,5,NA,NA,NA,NA,NA,NA,NA,10,5,0,10,7,1,2,2,4,4,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2",NA,4,NA,"-oth-","self employed",1,"1",NA,"Women",NA,NA,NA,670.2,NA,NA,NA,NA,63.4,NA,NA,83.56,NA,NA,NA,NA,93.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.19,NA,NA,NA,NA,NA,NA,224.63,NA,NA,NA,77.75,NA,NA,NA,NA,NA,NA,NA,20.1,NA,NA,"6682b50be4157c176db253b1","AWAITING REVIEW","Not Applicable",2024-07-01 13:54:26.94,2024-07-01 14:05:39.794,NA,2024-07-01 14:07:57.827451,673,"CBDIKNY0",46,"Liberal","53","Female","White","United States","United States","United States","English","No","Unemployed (and job seeking)",25,2,0,"control",10,2.5,2,2.5,3,"Centrist","middle","Female","Other","Independent",2,1,"North America (US)",0,1,"White","White","White","4 - 70s",4,0,"Other","2-Year College Degree",0,"Under $40,000 per year"
249,2024-07-01 15:57:43,12,"en",961348166,2024-07-01 15:54:34,2024-07-01 15:57:43,NA,"consent given",6,1,3,5,2,1,0,45,0,55,55,55,52,5,NA,NA,NA,NA,NA,NA,NA,0,10,10,0,4,1,5,4,4,1,4,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"3",NA,2,NA,"1",NA,1,"1",NA,"Men",NA,NA,NA,193.06,NA,NA,NA,NA,4.73,NA,NA,24.25,NA,NA,NA,NA,27.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.82,NA,NA,78.31,NA,NA,NA,NA,NA,NA,NA,17.69,NA,NA,NA,NA,NA,NA,NA,4.55,NA,NA,"6682b5122771754f1a6910cf","AWAITING REVIEW","Not Applicable",2024-07-01 13:54:32.841,2024-07-01 13:57:45.112,NA,2024-07-01 13:57:45.74244,193,"CBDIKNY0",8984,"Liberal","34","Male","White","United States","United States","United States","English","No","Full-Time",55,0,1,"control",0,10,5,4.5,4,"Left-leaning","strong_left","Male","Male","Democratic",1,1,"North America (US)",0,1,"White","White","White","6 - 90s",2,0,"Other","High School Graduate",0,"Under $40,000 per year"
